symbol,company_name,sector,yahoo_symbol,currency
AIAENG,AIA Engineering Limited,Unclassified,AIAENG.NS,INR
AIIL,Authum Investment & Infrastructure Limited,Unclassified,AIIL.NS,INR
AIRAN,Airan Limited,Unclassified,AIRAN.NS,INR
AIROLAM,Airo Lam limited,Unclassified,AIROLAM.NS,INR
AJANTPHARM,Ajanta Pharma Limited,Unclassified,AJANTPHARM.NS,INR
AJAXENGG,Ajax Engineering Limited,Unclassified,AJAXENGG.NS,INR
AJMERA,Ajmera Realty & Infra India Limited,Unclassified,AJMERA.NS,INR
AJOONI,Ajooni Biotech Limited,Unclassified,AJOONI.NS,INR
AKASH,Akash Infra-Projects Limited,Unclassified,AKASH.NS,INR
AKG,Akg Exim Limited,Unclassified,AKG.NS,INR
AKI,AKI India Limited,Unclassified,AKI.NS,INR
AKSHAR,Akshar Spintex Limited,Unclassified,AKSHAR.NS,INR
AKSHARCHEM,AksharChem India Limited,Unclassified,AKSHARCHEM.NS,INR
AKSHOPTFBR,Aksh Optifibre Limited,Unclassified,AKSHOPTFBR.NS,INR
AKUMS,Akums Drugs and Pharmaceuticals Limited,Unclassified,AKUMS.NS,INR
AKZOINDIA,Akzo Nobel India Limited,Unclassified,AKZOINDIA.NS,INR
ALANKIT,Alankit Limited,Unclassified,ALANKIT.NS,INR
ALBERTDAVD,Albert David Limited,Unclassified,ALBERTDAVD.NS,INR
ALEMBICLTD,Alembic Limited,Unclassified,ALEMBICLTD.NS,INR
ALGOQUANT,Algoquant Fintech Limited,Unclassified,ALGOQUANT.NS,INR
ALICON,Alicon Castalloy Limited,Unclassified,ALICON.NS,INR
ALIVUS,Alivus Life Sciences Limited,Unclassified,ALIVUS.NS,INR
ALKALI,Alkali Metals Limited,Unclassified,ALKALI.NS,INR
ALKEM,Alkem Laboratories Limited,Unclassified,ALKEM.NS,INR
ALKYLAMINE,Alkyl Amines Chemicals Limited,Unclassified,ALKYLAMINE.NS,INR
ALLCARGO,Allcargo Logistics Limited,Unclassified,ALLCARGO.NS,INR
ALLDIGI,Alldigi Tech Limited,Unclassified,ALLDIGI.NS,INR
ALLTIME,All Time Plastics Limited,Unclassified,ALLTIME.NS,INR
